Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2.261334,ZenlikeTrading_428586,Tick,10,10,0,0,127100,126800,126,4874,4874,OK
2.261334,Himalayas_748297,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.261334,Quicker_1024,Tick,30,11,19,-19,127100,126800,620,-2620,2206,OK
2.261334,Triumphal_Zephyr_112358,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.261334,DollarsPlusPlus_1,Tick,0,20,-20,20,127100,126800,-254,-5746,-10826,OK
2.490283,RenTech_1,Tick,0,10,-10,10,127100,126800,-127,-873,-3413,OK
2.490283,hbxql_114514,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.490283,ZenlikeTrading_428586,Tick,10,10,0,0,127100,126800,126,4874,4874,OK
2.490283,Himalayas_748297,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.490283,Quicker_1024,Tick,30,11,19,-19,127100,126800,620,-2620,2206,OK
2.490283,Triumphal_Zephyr_112358,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.490283,DollarsPlusPlus_1,Tick,0,20,-20,20,127100,126800,-254,-5746,-10826,OK
2.77573,RenTech_1,Tick,0,10,-10,10,127300,126800,-127,-873,-3413,OK
2.77573,hbxql_114514,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.77573,ZenlikeTrading_428586,Tick,10,10,0,0,127300,126800,126,4874,4874,OK
2.77573,Himalayas_748297,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.77573,Quicker_1024,Tick,30,21,9,-9,127300,126800,493,-3493,-1207,OK
2.77573,Triumphal_Zephyr_112358,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.77573,DollarsPlusPlus_1,Tick,0,20,-20,20,127300,126800,-254,-5746,-10826,OK
3.007666,RenTech_1,Tick,0,10,-10,10,127400,127300,-127,-873,-1873,OK
3.007666,hbxql_114514,Tick,0,0,0,0,127400,127300,0,0,0,OK
3.007666,ZenlikeTrading_428586,Tick,10,10,0,0,127400,127300,126,4874,4874,OK
3.007666,Himalayas_748297,Tick,0,0,0,0,127400,127300,0,0,0,OK
3.007666,Quicker_1024,Tick,30,31,-1,1,127400,127300,748,-3748,-3848,OK
3.007666,Triumphal_Zephyr_112358,Tick,0,0,0,0,127400,127300,0,0,0,OK
3.007666,DollarsPlusPlus_1,Tick,0,20,-20,20,127400,127300,-254,-5746,-7746,OK
3.265548,RenTech_1,Tick,0,10,-10,10,127400,127200,-127,-873,-2873,OK
3.265548,hbxql_114514,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.265548,ZenlikeTrading_428586,Tick,10,10,0,0,127400,127200,126,4874,4874,OK
3.265548,Himalayas_748297,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.265548,Quicker_1024,Tick,30,31,-1,1,127400,127200,748,-3748,-3948,OK
3.265548,Triumphal_Zephyr_112358,Tick,0,0,0,0,127400,127200,0,0,0,OK
3.265548,DollarsPlusPlus_1,Tick,0,20,-20,20,127400,127200,-254,-5746,-9746,OK
3.529202,RenTech_1,Tick,0,10,-10,10,127500,127200,-127,-873,-3413,OK
3.529202,hbxql_114514,Tick,0,0,0,0,127500,127200,0,0,0,OK
3.529202,ZenlikeTrading_428586,Tick,10,10,0,0,127500,127200,126,4874,4874,OK
3.529202,Himalayas_748297,Tick,0,2,-2,2,127500,127200,51,-51,-559,OK
3.529202,Quicker_1024,Tick,30,38,-8,8,127500,127200,659,-3659,-5691,OK
3.529202,Triumphal_Zephyr_112358,Tick,0,0,0,0,127500,127200,0,0,0,OK
3.529202,DollarsPlusPlus_1,Tick,0,20,-20,20,127500,127200,-254,-5746,-10826,OK
3.771434,RenTech_1,Tick,0,10,-10,10,127400,127400,-127,-873,-873,OK
3.771434,hbxql_114514,Tick,0,0,0,0,127400,127400,0,0,0,OK
3.771434,ZenlikeTrading_428586,Tick,10,10,0,0,127400,127400,126,4874,4874,OK
3.771434,Himalayas_748297,Tick,1,3,-2,2,127400,127400,102,-402,-402,OK
3.771434,Quicker_1024,Tick,40,38,2,-2,127400,127400,914,-5914,-5914,OK
3.771434,Triumphal_Zephyr_112358,Tick,0,0,0,0,127400,127400,0,0,0,OK
3.771434,DollarsPlusPlus_1,Tick,0,31,-31,31,127400,127400,-395,-5605,-5605,OK
3.991932,RenTech_1,Tick,0,10,-10,10,127500,127400,-127,-873,-1873,OK
3.991932,hbxql_114514,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.991932,ZenlikeTrading_428586,Tick,10,10,0,0,127500,127400,126,4874,4874,OK
3.991932,Himalayas_748297,Tick,1,3,-2,2,127500,127400,102,-402,-602,OK
3.991932,Quicker_1024,Tick,49,38,11,-11,127500,127400,1144,-6144,-5044,OK
3.991932,Triumphal_Zephyr_112358,Tick,0,0,0,0,127500,127400,0,0,0,OK
3.991932,DollarsPlusPlus_1,Tick,0,40,-40,40,127500,127400,-510,-6390,-10390,OK
4.2709,RenTech_1,Tick,0,10,-10,10,127500,127600,-127,-873,127,OK
4.2709,hbxql_114514,Tick,0,0,0,0,127500,127600,0,0,0,OK
4.2709,ZenlikeTrading_428586,Tick,10,10,0,0,127500,127600,126,4874,4874,OK
4.2709,Himalayas_748297,Tick,5,3,2,-2,127500,127600,127,-427,-627,OK
4.2709,Quicker_1024,Tick,49,42,7,-7,127500,127600,1169,-6569,-7269,OK
4.2709,Triumphal_Zephyr_112358,Tick,0,0,0,0,127500,127600,0,0,0,OK
4.2709,DollarsPlusPlus_1,Tick,0,40,-40,40,127500,127600,-510,-6390,-2390,OK
4.516667,RenTech_1,Tick,0,10,-10,10,127500,127600,-127,-873,127,OK
4.516667,hbxql_114514,Tick,0,0,0,0,127500,127600,0,0,0,OK
4.516667,ZenlikeTrading_428586,Tick,17,10,7,-7,127500,127600,304,5396,4696,OK
4.516667,Himalayas_748297,Tick,5,4,1,-1,127500,127600,114,-614,-714,OK
4.516667,Quicker_1024,Tick,49,48,1,-1,127500,127600,1093,-7693,-7793,OK
4.516667,Triumphal_Zephyr_112358,Tick,0,0,0,0,127500,127600,0,0,0,OK
4.516667,DollarsPlusPlus_1,Tick,0,40,-40,40,127500,127600,-510,-6390,-2390,OK
4.749447,RenTech_1,Tick,0,10,-10,10,127500,127700,-127,-873,1127,OK
4.749447,hbxql_114514,Tick,0,0,0,0,127500,127700,0,0,0,OK
4.749447,ZenlikeTrading_428586,Tick,17,10,7,-7,127500,127700,304,5396,3996,OK
4.749447,Himalayas_748297,Tick,5,4,1,-1,127500,127700,114,-614,-814,OK
4.749447,Quicker_1024,Tick,49,48,1,-1,127500,127700,1093,-7693,-7893,OK
4.749447,Triumphal_Zephyr_112358,Tick,0,0,0,0,127500,127700,0,0,0,OK
4.749447,DollarsPlusPlus_1,Tick,0,40,-40,40,127500,127700,-510,-6390,1610,OK
4.972015,RenTech_1,Tick,0,10,-10,10,127800,127700,-127,-873,-1873,OK
4.972015,hbxql_114514,Tick,0,0,0,0,127800,127700,0,0,0,OK
4.972015,ZenlikeTrading_428586,Tick,17,10,7,-7,127800,127700,304,5396,6096,OK
4.972015,Himalayas_748297,Tick,6,4,2,-2,127800,127700,140,-740,-540,OK
4.972015,Quicker_1024,Tick,49,49,0,0,127800,127700,1080,-7680,-7680,OK
4.972015,Triumphal_Zephyr_112358,Tick,0,0,0,0,127800,127700,0,0,0,OK
4.972015,DollarsPlusPlus_1,Tick,0,40,-40,40,127800,127700,-510,-6390,-10390,OK
5.219128,RenTech_1,Tick,0,10,-10,10,127800,128000,-127,-873,1127,OK
5.219128,hbxql_114514,Tick,0,0,0,0,127800,128000,0,0,0,OK
5.219128,ZenlikeTrading_428586,Tick,17,10,7,-7,127800,128000,304,5396,3996,OK
5.219128,Himalayas_748297,Tick,7,6,1,-1,127800,128000,140,-1040,-1240,OK
5.219128,Quicker_1024,Tick,51,50,1,-1,127800,128000,1118,-7718,-7918,OK
5.219128,Triumphal_Zephyr_112358,Tick,0,0,0,0,127800,128000,0,0,0,OK
5.219128,DollarsPlusPlus_1,Tick,0,40,-40,40,127800,128000,-510,-6390,1610,OK
5.528537,RenTech_1,Tick,0,10,-10,10,127800,128000,-127,-873,1127,OK
5.528537,hbxql_114514,Tick,0,0,0,0,127800,128000,0,0,0,OK
5.528537,ZenlikeTrading_428586,Tick,25,10,15,-15,127800,128000,508,7592,4592,OK
5.528537,Himalayas_748297,Tick,7,6,1,-1,127800,128000,140,-1040,-1240,OK
5.528537,Quicker_1024,Tick,51,58,-7,7,127800,128000,1016,-10816,-9416,OK
5.528537,Triumphal_Zephyr_112358,Tick,0,0,0,0,127800,128000,0,0,0,OK
5.528537,DollarsPlusPlus_1,Tick,0,40,-40,40,127800,128000,-510,-6390,1610,OK
5.721148,RenTech_1,Tick,0,10,-10,10,127800,128000,-127,-873,1127,OK
5.721148,hbxql_114514,Tick,0,0,0,0,127800,128000,0,0,0,OK
5.721148,ZenlikeTrading_428586,Tick,25,10,15,-15,127800,128000,508,7592,4592,OK
5.721148,Himalayas_748297,Tick,7,6,1,-1,127800,128000,140,-1040,-1240,OK
5.721148,Quicker_1024,Tick,51,58,-7,7,127800,128000,1016,-10816,-9416,OK
5.721148,Triumphal_Zephyr_112358,Tick,0,0,0,0,127800,128000,0,0,0,OK
5.721148,DollarsPlusPlus_1,Tick,0,40,-40,40,127800,128000,-510,-6390,1610,OK
5.980349,RenTech_1,Tick,0,10,-10,10,127800,128000,-127,-873,1127,OK
5.980349,hbxql_114514,Tick,0,0,0,0,127800,128000,0,0,0,OK
5.980349,ZenlikeTrading_428586,Tick,25,10,15,-15,127800,128000,508,7592,4592,OK
5.980349,Himalayas_748297,Tick,7,6,1,-1,127800,128000,140,-1040,-1240,OK
5.980349,Quicker_1024,Tick,51,58,-7,7,127800,128000,1016,-10816,-9416,OK
5.980349,Triumphal_Zephyr_112358,Tick,0,0,0,0,127800,128000,0,0,0,OK
5.980349,DollarsPlusPlus_1,Tick,0,40,-40,40,127800,128000,-510,-6390,1610,OK
6.224834,RenTech_1,Tick,0,10,-10,10,127800,128000,-127,-873,1127,OK
6.224834,hbxql_114514,Tick,0,0,0,0,127800,128000,0,0,0,OK
6.224834,ZenlikeTrading_428586,Tick,26,20,6,-6,127800,128000,751,9349,8149,OK
6.224834,Himalayas_748297,Tick,8,6,2,-2,127800,128000,127,-1327,-1727,OK
6.224834,Quicker_1024,Tick,71,59,12,-12,127800,128000,786,-15386,-17786,OK
6.224834,Triumphal_Zephyr_112358,Tick,0,0,0,0,127800,128000,0,0,0,OK
6.224834,DollarsPlusPlus_1,Tick,0,40,-40,40,127800,128000,-510,-6390,1610,OK
6.542352,RenTech_1,Tick,10,10,0,0,127500,127700,-255,2255,2255,OK
6.542352,hbxql_114514,Tick,89,0,89,-89,127500,127700,-1135,27835,10035,OK
6.542352,ZenlikeTrading_428586,Tick,27,20,7,-7,127500,127700,738,9362,7962,OK
6.542352,Himalayas_748297,Tick,9,6,3,-3,127500,127700,153,-1353,-1953,OK
6.542352,Quicker_1024,Tick,81,61,20,-20,127500,127700,671,-14471,-18471,OK
6.542352,Triumphal_Zephyr_112358,Tick,0,0,0,0,127500,127700,0,0,0,OK
6.542352,DollarsPlusPlus_1,Tick,40,40,0,0,127500,127700,-1021,-1879,-1879,OK
6.779085,RenTech_1,Tick,10,10,0,0,127500,127700,-255,2255,2255,OK
6.779085,hbxql_114514,Tick,89,0,89,-89,127500,127700,-1135,27835,10035,OK
6.779085,ZenlikeTrading_428586,Tick,27,20,7,-7,127500,127700,738,9362,7962,OK
6.779085,Himalayas_748297,Tick,11,6,5,-5,127500,127700,204,-1404,-2404,OK
6.779085,Quicker_1024,Tick,81,63,18,-18,127500,127700,645,-14845,-18445,OK
6.779085,Triumphal_Zephyr_112358,Tick,0,0,0,0,127500,127700,0,0,0,OK
6.779085,DollarsPlusPlus_1,Tick,40,40,0,0,127500,127700,-1021,-1879,-1879,OK
6.965731,RenTech_1,Tick,10,20,-10,10,128000,127700,-383,4383,1833,OK
6.965731,hbxql_114514,Tick,89,25,64,-64,128000,127700,-1455,33155,49475,OK
6.965731,ZenlikeTrading_428586,Tick,27,30,-3,3,128000,127700,610,10490,9725,OK
6.965731,Himalayas_748297,Tick,13,8,5,-5,128000,127700,229,-1829,-554,OK
6.965731,Quicker_1024,Tick,81,73,8,-8,128000,127700,517,-16517,-14477,OK
6.965731,Triumphal_Zephyr_112358,Tick,0,0,0,0,128000,127700,0,0,0,OK
6.965731,DollarsPlusPlus_1,Tick,40,50,-10,10,128000,127700,-1149,-1751,-4301,OK
7.278963,RenTech_1,Tick,10,20,-10,10,127400,127600,-383,4383,6383,OK
7.278963,hbxql_114514,Tick,89,25,64,-64,127400,127600,-1455,33155,20355,OK
7.278963,ZenlikeTrading_428586,Tick,27,30,-3,3,127400,127600,610,10490,11090,OK
7.278963,Himalayas_748297,Tick,15,8,7,-7,127400,127600,203,-1603,-3003,OK
7.278963,Quicker_1024,Tick,91,73,18,-18,127400,127600,390,-14390,-17990,OK
7.278963,Triumphal_Zephyr_112358,Tick,0,0,0,0,127400,127600,0,0,0,OK
7.278963,DollarsPlusPlus_1,Tick,49,50,-1,1,127400,127600,-1264,164,364,OK
7.506691,RenTech_1,Tick,10,20,-10,10,127600,127600,-383,4383,4383,OK
7.506691,hbxql_114514,Tick,89,25,64,-64,127600,127600,-1455,33155,33155,OK
7.506691,ZenlikeTrading_428586,Tick,27,30,-3,3,127600,127600,610,10490,10490,OK
7.506691,Himalayas_748297,Tick,17,8,9,-9,127600,127600,177,-1977,-1977,OK
7.506691,Quicker_1024,Tick,91,75,16,-16,127600,127600,441,-14441,-14441,OK
7.506691,Triumphal_Zephyr_112358,Tick,0,0,0,0,127600,127600,0,0,0,OK
7.506691,DollarsPlusPlus_1,Tick,49,50,-1,1,127600,127600,-1264,164,164,OK
7.712809,RenTech_1,Tick,10,20,-10,10,127300,127600,-383,4383,6933,OK
7.712809,hbxql_114514,Tick,89,25,64,-64,127300,127600,-1455,33155,16835,OK
7.712809,ZenlikeTrading_428586,Tick,27,30,-3,3,127300,127600,610,10490,11255,OK
7.712809,Himalayas_748297,Tick,18,8,10,-10,127300,127600,164,-1864,-4414,OK
7.712809,Quicker_1024,Tick,101,85,16,-16,127300,127600,569,-12569,-16649,OK
7.712809,Triumphal_Zephyr_112358,Tick,0,0,0,0,127300,127600,0,0,0,OK
7.712809,DollarsPlusPlus_1,Tick,60,50,10,-10,127300,127600,-1404,504,-2046,OK
8.030213,RenTech_1,Tick,20,20,0,0,127200,127600,-129,8129,8129,OK
8.030213,hbxql_114514,Tick,90,25,65,-65,127200,127600,-1430,33530,16955,OK
8.030213,ZenlikeTrading_428586,Tick,37,30,7,-7,127200,127600,864,14236,12451,OK
8.030213,Himalayas_748297,Tick,18,8,10,-10,127200,127600,164,-1864,-4414,OK
8.030213,Quicker_1024,Tick,111,85,26,-26,127200,127600,823,-8823,-15453,OK
8.030213,Triumphal_Zephyr_112358,Tick,0,0,0,0,127200,127600,0,0,0,OK
8.030213,DollarsPlusPlus_1,Tick,60,50,10,-10,127200,127600,-1404,504,-2046,OK
8.293149,RenTech_1,Tick,20,20,0,0,127200,127600,-129,8129,8129,OK
8.293149,hbxql_114514,Tick,90,25,65,-65,127200,127600,-1430,33530,16955,OK
8.293149,ZenlikeTrading_428586,Tick,37,30,7,-7,127200,127600,864,14236,12451,OK
8.293149,Himalayas_748297,Tick,18,8,10,-10,127200,127600,164,-1864,-4414,OK
8.293149,Quicker_1024,Tick,111,85,26,-26,127200,127600,823,-8823,-15453,OK
8.293149,Triumphal_Zephyr_112358,Tick,0,0,0,0,127200,127600,0,0,0,OK
8.293149,DollarsPlusPlus_1,Tick,60,50,10,-10,127200,127600,-1404,504,-2046,OK
8.529588,RenTech_1,Tick,20,20,0,0,127300,127400,-129,8129,8129,OK
8.529588,hbxql_114514,Tick,90,25,65,-65,127300,127400,-1430,33530,27030,OK
8.529588,ZenlikeTrading_428586,Tick,37,30,7,-7,127300,127400,864,14236,13536,OK
8.529588,Himalayas_748297,Tick,20,8,12,-12,127300,127400,139,-2039,-3239,OK
8.529588,Quicker_1024,Tick,111,95,16,-16,127300,127400,1078,-9878,-11478,OK
8.529588,Triumphal_Zephyr_112358,Tick,0,0,0,0,127300,127400,0,0,0,OK
8.529588,DollarsPlusPlus_1,Tick,68,50,18,-18,127300,127400,-1506,606,-1194,OK
8.723455,RenTech_1,Tick,20,20,0,0,127600,127400,-129,8129,8129,OK
8.723455,hbxql_114514,Tick,90,25,65,-65,127600,127400,-1430,33530,46530,OK
8.723455,ZenlikeTrading_428586,Tick,37,30,7,-7,127600,127400,864,14236,15636,OK
8.723455,Himalayas_748297,Tick,21,8,13,-13,127600,127400,165,-2065,535,OK
8.723455,Quicker_1024,Tick,111,96,15,-15,127600,127400,1065,-9965,-6965,OK
8.723455,Triumphal_Zephyr_112358,Tick,0,0,0,0,127600,127400,0,0,0,OK
8.723455,DollarsPlusPlus_1,Tick,68,50,18,-18,127600,127400,-1506,606,4206,OK
8.96253,RenTech_1,Tick,20,20,0,0,127600,127400,-129,8129,8129,OK
8.96253,hbxql_114514,Tick,90,25,65,-65,127600,127400,-1430,33530,46530,OK
8.96253,ZenlikeTrading_428586,Tick,37,30,7,-7,127600,127400,864,14236,15636,OK
8.96253,Himalayas_748297,Tick,21,8,13,-13,127600,127400,165,-2065,535,OK
8.96253,Quicker_1024,Tick,111,96,15,-15,127600,127400,1065,-9965,-6965,OK
8.96253,Triumphal_Zephyr_112358,Tick,0,0,0,0,127600,127400,0,0,0,OK
8.96253,DollarsPlusPlus_1,Tick,68,50,18,-18,127600,127400,-1506,606,4206,OK
9.225353,RenTech_1,Tick,20,20,0,0,127600,127800,-129,8129,8129,OK
9.225353,hbxql_114514,Tick,90,25,65,-65,127600,127800,-1430,33530,20530,OK
9.225353,ZenlikeTrading_428586,Tick,37,30,7,-7,127600,127800,864,14236,12836,OK
9.225353,Himalayas_748297,Tick,21,8,13,-13,127600,127800,165,-2065,-4665,OK
9.225353,Quicker_1024,Tick,111,96,15,-15,127600,127800,1065,-9965,-12965,OK
9.225353,Triumphal_Zephyr_112358,Tick,0,0,0,0,127600,127800,0,0,0,OK
9.225353,DollarsPlusPlus_1,Tick,68,50,18,-18,127600,127800,-1506,606,-2994,OK
9.520163,RenTech_1,Tick,20,20,0,0,127600,127800,-129,8129,8129,OK
9.520163,hbxql_114514,Tick,90,25,65,-65,127600,127800,-1430,33530,20530,OK
9.520163,ZenlikeTrading_428586,Tick,39,30,9,-9,127600,127800,915,14385,12585,OK
9.520163,Himalayas_748297,Tick,21,10,11,-11,127600,127800,139,-2639,-4839,OK
9.520163,Quicker_1024,Tick,111,96,15,-15,127600,127800,1065,-9965,-12965,OK
9.520163,Triumphal_Zephyr_112358,Tick,0,0,0,0,127600,127800,0,0,0,OK
9.520163,DollarsPlusPlus_1,Tick,68,50,18,-18,127600,127800,-1506,606,-2994,OK
9.73057,RenTech_1,Tick,30,20,10,-10,127000,127800,-256,12256,9696,OK
9.73057,hbxql_114514,Tick,125,25,100,-100,127000,127800,-1875,47975,22375,OK
9.73057,ZenlikeTrading_428586,Tick,47,30,17,-17,127000,127800,813,13687,9335,OK
9.73057,Himalayas_748297,Tick,24,12,12,-12,127000,127800,190,-3490,-6562,OK
9.73057,Quicker_1024,Tick,121,106,15,-15,127000,127800,1193,-9093,-12933,OK
9.73057,Triumphal_Zephyr_112358,Tick,0,0,0,0,127000,127800,0,0,0,OK
9.73057,DollarsPlusPlus_1,Tick,98,51,47,-47,127000,127800,-1902,3802,-8230,OK
10.007973,RenTech_1,Tick,30,20,10,-10,127000,127500,-256,12256,9706,OK
10.007973,hbxql_114514,Tick,125,25,100,-100,127000,127500,-1875,47975,22475,OK
10.007973,ZenlikeTrading_428586,Tick,47,30,17,-17,127000,127500,813,13687,9352,OK
10.007973,Himalayas_748297,Tick,24,12,12,-12,127000,127500,190,-3490,-6550,OK
10.007973,Quicker_1024,Tick,121,106,15,-15,127000,127500,1193,-9093,-12918,OK
10.007973,Triumphal_Zephyr_112358,Tick,0,0,0,0,127000,127500,0,0,0,OK
10.007973,DollarsPlusPlus_1,Tick,98,51,47,-47,127000,127500,-1902,3802,-8183,OK
10.28815,RenTech_1,Tick,40,20,20,-20,127000,127500,-383,14383,9283,OK
10.28815,hbxql_114514,Tick,125,25,100,-100,127000,127500,-1875,47975,22475,OK
10.28815,ZenlikeTrading_428586,Tick,57,30,27,-27,127000,127500,686,15814,8929,OK
10.28815,Himalayas_748297,Tick,24,12,12,-12,127000,127500,190,-3490,-6550,OK
10.28815,Quicker_1024,Tick,131,106,25,-25,127000,127500,1066,-8966,-15341,OK
10.28815,Triumphal_Zephyr_112358,Tick,0,0,0,0,127000,127500,0,0,0,OK
10.28815,DollarsPlusPlus_1,Tick,99,51,48,-48,127000,127500,-1915,4215,-8025,OK
10.501649,RenTech_1,Tick,42,20,22,-22,127000,127500,-408,15208,9598,OK
10.501649,hbxql_114514,Tick,125,25,100,-100,127000,127500,-1875,47975,22475,OK
10.501649,ZenlikeTrading_428586,Tick,57,30,27,-27,127000,127500,686,15814,8929,OK
10.501649,Himalayas_748297,Tick,26,12,14,-14,127000,127500,165,-2865,-6435,OK
10.501649,Quicker_1024,Tick,141,106,35,-35,127000,127500,939,-6839,-15764,OK
10.501649,Triumphal_Zephyr_112358,Tick,0,0,0,0,127000,127500,0,0,0,OK
10.501649,DollarsPlusPlus_1,Tick,99,51,48,-48,127000,127500,-1915,4215,-8025,OK
10.728773,RenTech_1,Tick,42,20,22,-22,127000,127500,-408,15208,9598,OK
10.728773,hbxql_114514,Tick,125,25,100,-100,127000,127500,-1875,47975,22475,OK
10.728773,ZenlikeTrading_428586,Tick,57,30,27,-27,127000,127500,686,15814,8929,OK
10.728773,Himalayas_748297,Tick,26,12,14,-14,127000,127500,165,-2865,-6435,OK
10.728773,Quicker_1024,Tick,141,106,35,-35,127000,127500,939,-6839,-15764,OK
10.728773,Triumphal_Zephyr_112358,Tick,0,0,0,0,127000,127500,0,0,0,OK
